epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1227,0.01059,4.22049,0.99024,0.28136,0.18503,0.14785,0.08839,0.01292,8.19306,1.22824,0.000328431,0.000328431,0.000328431
2,43.408,0.01342,2.21567,1.21679,0.2573,0.18613,0.04998,0.02236,0.02215,inf,4.6574,0.000658459,0.000658459,0.000658459
3,65.0724,0.01552,2.12332,1.42646,0.85676,0.09486,0.07331,0.03215,0.01667,5.5061,1.87011,0.000985157,0.000985157,0.000985157
4,86.8229,0.01487,2.08808,1.4021,0.44385,0.08188,0.05508,0.0262,0.02,5.44459,2.01449,0.000985015,0.000985015,0.000985015
5,108.967,0.01462,1.87785,1.3445,0.43092,0.15156,0.1194,0.06013,0.01674,45.5,1.82375,0.00098002,0.00098002,0.00098002
6,130.496,0.01395,1.83357,1.27693,0.79966,0.0942,0.13952,0.06209,0.01586,2.47567,1.48514,0.000975025,0.000975025,0.000975025
7,152.162,0.01353,1.63121,1.28458,0.81749,0.14493,0.17706,0.10458,0.01338,2.66985,1.4156,0.00097003,0.00097003,0.00097003
8,174.669,0.01313,1.5178,1.24261,0.37023,0.34529,0.3022,0.14892,0.01302,1.39959,1.25327,0.000965035,0.000965035,0.000965035
9,197.363,0.01238,1.40017,1.20538,0.31115,0.36679,0.2909,0.14065,0.01369,2.77993,1.30724,0.00096004,0.00096004,0.00096004
10,218.841,0.01241,1.41937,1.1826,0.66693,0.2311,0.31222,0.17671,0.0117,1.42156,1.20812,0.000955045,0.000955045,0.000955045
11,241.439,0.01163,1.27734,1.12403,0.55785,0.28798,0.36029,0.18415,0.01271,1.24432,1.30647,0.00095005,0.00095005,0.00095005
12,264.041,0.01172,1.25388,1.12304,0.4557,0.29545,0.27611,0.13361,0.01258,1.73028,1.20923,0.000945055,0.000945055,0.000945055
13,285.568,0.01203,1.24845,1.14898,0.36257,0.34082,0.37633,0.20574,0.01177,1.16525,1.17658,0.00094006,0.00094006,0.00094006
14,307.999,0.01134,1.19018,1.11576,0.62322,0.25222,0.40145,0.1849,0.01227,1.4204,1.20752,0.000935065,0.000935065,0.000935065
15,329.049,0.01117,1.21037,1.0815,0.50783,0.42515,0.4251,0.22048,0.01201,1.29459,1.16807,0.00093007,0.00093007,0.00093007
16,351.442,0.01122,1.14881,1.10758,0.56572,0.45076,0.48134,0.27812,0.01092,1.52615,1.15941,0.000925075,0.000925075,0.000925075
17,374.127,0.01067,1.04841,1.04227,0.70192,0.39354,0.45182,0.25065,0.01162,0.99255,1.1694,0.00092008,0.00092008,0.00092008
18,395.661,0.01072,1.06966,1.06186,0.58944,0.47785,0.56105,0.32797,0.01097,0.90009,1.07411,0.000915085,0.000915085,0.000915085
19,418.144,0.00999,0.93162,1.00512,0.51033,0.42945,0.52218,0.28541,0.01221,1.33395,1.22881,0.00091009,0.00091009,0.00091009
20,439.876,0.01044,1.00272,1.0117,0.62303,0.51483,0.61073,0.32981,0.01149,0.83785,1.19316,0.000905095,0.000905095,0.000905095
21,462.715,0.01068,0.98467,1.02142,0.56842,0.52656,0.55061,0.32717,0.01096,0.9334,1.08925,0.0009001,0.0009001,0.0009001
22,484.379,0.01043,0.99062,0.99523,0.33845,0.48248,0.47734,0.25263,0.01147,1.14211,1.14415,0.000895105,0.000895105,0.000895105
23,505.947,0.01024,0.88437,1.0134,0.65098,0.51626,0.59977,0.37267,0.01058,0.75454,1.06831,0.00089011,0.00089011,0.00089011
24,528.551,0.00989,0.91707,0.97709,0.49353,0.57163,0.52834,0.32245,0.0104,1.20797,1.05416,0.000885115,0.000885115,0.000885115
25,549.972,0.00958,0.85112,0.97969,0.53892,0.62774,0.61465,0.35895,0.01016,0.81044,1.09132,0.00088012,0.00088012,0.00088012
26,571.315,0.00943,0.8928,0.95273,0.74739,0.48527,0.64023,0.39214,0.01004,0.80203,1.05633,0.000875125,0.000875125,0.000875125
27,593.87,0.00984,0.88919,0.98606,0.51289,0.57162,0.58596,0.36018,0.01037,1.12092,1.06993,0.00087013,0.00087013,0.00087013
28,615.02,0.00952,0.88659,0.98262,0.69519,0.56628,0.6762,0.39639,0.0103,1.44751,1.03336,0.000865135,0.000865135,0.000865135
29,637.427,0.0093,0.93125,0.95407,0.56752,0.53896,0.60783,0.38146,0.00971,1.01634,1.02137,0.00086014,0.00086014,0.00086014
30,658.843,0.00941,0.79933,0.93451,0.5023,0.55539,0.58501,0.36469,0.00976,0.79526,1.01351,0.000855145,0.000855145,0.000855145
31,680.122,0.00936,0.88639,0.9396,0.60825,0.57433,0.65698,0.41071,0.01005,0.75495,0.99178,0.00085015,0.00085015,0.00085015
32,702.567,0.00956,0.82776,0.9318,0.64079,0.51421,0.62651,0.39834,0.01008,0.6951,1.04352,0.000845155,0.000845155,0.000845155
33,724.036,0.00931,0.76293,0.95846,0.63304,0.68993,0.69451,0.41233,0.00994,0.90387,1.07726,0.00084016,0.00084016,0.00084016
34,746.558,0.00879,0.74919,0.89776,0.61311,0.59985,0.64033,0.39283,0.00996,0.80588,1.04666,0.000835165,0.000835165,0.000835165
35,768.113,0.00887,0.74781,0.9283,0.58283,0.6519,0.6528,0.39351,0.0097,0.68794,1.01212,0.00083017,0.00083017,0.00083017
36,789.786,0.00927,0.79802,0.9063,0.71701,0.65002,0.7094,0.45837,0.00932,0.67354,0.97374,0.000825175,0.000825175,0.000825175
37,812.545,0.00887,0.76955,0.92814,0.53623,0.52177,0.5703,0.3528,0.01092,1.11871,1.08414,0.00082018,0.00082018,0.00082018
38,834.147,0.00896,0.71898,0.88846,0.5988,0.58273,0.63223,0.37221,0.00972,0.71566,1.05094,0.000815185,0.000815185,0.000815185
39,855.575,0.00892,0.76956,0.93162,0.66878,0.6261,0.68742,0.45579,0.00936,0.6146,0.99437,0.00081019,0.00081019,0.00081019
